timebg	Bbgz
2021-06-07T16:40:59.506	-68.9245055597543
2021-06-07T16:41:00.506	-68.9322402157231
2021-06-07T16:41:01.506	-68.939974871692
2021-06-07T16:41:02.505	-68.9477017930049
2021-06-07T16:41:03.505	-68.9554364489737
2021-06-07T16:41:04.505	-68.9631711049426
2021-06-07T16:41:05.505	-68.9709057609114
2021-06-07T16:41:06.505	-68.9786404168802
2021-06-07T16:41:07.505	-68.9863750728491
2021-06-07T16:41:08.506	-68.9941174634739
2021-06-07T16:41:09.505	-69.0018443847868
2021-06-07T16:41:10.506	-69.0095867754116
2021-06-07T16:41:11.506	-69.0173214313804
2021-06-07T16:41:12.506	-69.0250560873493
2021-06-07T16:41:13.506	-69.0327907433181
2021-06-07T16:41:14.506	-69.040525399287
2021-06-07T16:41:15.506	-69.0482600552558
2021-06-07T16:41:16.505	-69.0559869765687
2021-06-07T16:41:17.505	-69.0637216325375
2021-06-07T16:41:18.505	-69.0714562885064
2021-06-07T16:41:19.505	-69.0791909444752
2021-06-07T16:41:20.505	-69.0869256004441
2021-06-07T16:41:21.505	-69.0946602564129
2021-06-07T16:41:22.506	-69.1024026470377
2021-06-07T16:41:23.506	-69.1101373030066
2021-06-07T16:41:24.506	-69.1178719589754
2021-06-07T16:41:25.506	-69.1256066149442
2021-06-07T16:41:26.506	-69.1333412709131
2021-06-07T16:41:27.506	-69.1410759268819
2021-06-07T16:41:28.506	-69.1488105828508
2021-06-07T16:41:29.505	-69.1565375041637
2021-06-07T16:41:30.505	-69.1642721601325
2021-06-07T16:41:31.505	-69.1720068161013
2021-06-07T16:41:32.505	-69.1797414720702
2021-06-07T16:41:33.505	-69.187476128039
2021-06-07T16:41:34.505	-69.1952107840079
2021-06-07T16:41:35.506	-69.2029531746327
2021-06-07T16:41:36.505	-69.2106800959456
2021-06-07T16:41:37.506	-69.2184224865704
2021-06-07T16:41:38.506	-69.2261571425392
2021-06-07T16:41:39.506	-69.2338917985081
2021-06-07T16:41:40.506	-69.2416264544769
2021-06-07T16:41:41.506	-69.2493611104458
2021-06-07T16:41:42.506	-69.2570957664146
2021-06-07T16:41:43.505	-69.2648226877275
2021-06-07T16:41:44.505	-69.2725573436963
2021-06-07T16:41:45.505	-69.2802919996652
2021-06-07T16:41:46.505	-69.288026655634
2021-06-07T16:41:47.505	-69.2957613116028
2021-06-07T16:41:48.505	-69.3034959675717
2021-06-07T16:41:49.506	-69.3112383581965
2021-06-07T16:41:50.506	-69.3189730141654
2021-06-07T16:41:51.506	-69.3267076701342
2021-06-07T16:41:52.506	-69.334442326103
2021-06-07T16:41:53.506	-69.3421769820719
2021-06-07T16:41:54.506	-69.3499116380407
2021-06-07T16:41:55.506	-69.3576462940096
2021-06-07T16:41:56.505	-69.3653732153224
2021-06-07T16:41:57.505	-69.3731078712913
2021-06-07T16:41:58.505	-69.3808425272601
2021-06-07T16:41:59.505	-69.388577183229
2021-06-07T16:42:00.505	-69.3963118391978
2021-06-07T16:42:01.505	-69.4040464951667
2021-06-07T16:42:02.506	-69.4117888857915
2021-06-07T16:42:03.505	-69.4195158071043
2021-06-07T16:42:04.506	-69.4272581977292
2021-06-07T16:42:05.506	-69.434992853698
2021-06-07T16:42:06.506	-69.4427275096669
2021-06-07T16:42:07.506	-69.4504621656357
2021-06-07T16:42:08.506	-69.4581968216045
2021-06-07T16:42:09.506	-69.4659314775734
2021-06-07T16:42:10.505	-69.4736583988863
2021-06-07T16:42:11.505	-69.4813930548551
2021-06-07T16:42:12.505	-69.4891277108239
2021-06-07T16:42:13.505	-69.4968623667928
2021-06-07T16:42:14.505	-69.5045970227616
2021-06-07T16:42:15.505	-69.5123316787305
2021-06-07T16:42:16.505	-69.5200663346993
2021-06-07T16:42:17.506	-69.5278087253241
2021-06-07T16:42:18.506	-69.535543381293
2021-06-07T16:42:19.506	-69.5432780372618
