timebg	Bbgy
1996-09-06T18:48:50.787	-16.0183321267705
1996-09-06T18:48:51.153	-16.0159226004978
1996-09-06T18:48:51.453	-16.0139475789628
1996-09-06T18:48:51.820	-16.011531469285
1996-09-06T18:48:52.120	-16.00955644775
1996-09-06T18:48:52.487	-16.0071403380721
1996-09-06T18:48:52.787	-16.0051653165371
1996-09-06T18:48:53.153	-16.0027557902644
1996-09-06T18:48:53.453	-16.0007807687294
1996-09-06T18:48:53.820	-15.9983646590515
1996-09-06T18:48:54.120	-15.9963896375165
1996-09-06T18:48:54.487	-15.9939735278387
1996-09-06T18:48:54.787	-15.9919985063037
1996-09-06T18:48:55.153	-15.9895889800309
1996-09-06T18:48:55.453	-15.9876139584959
1996-09-06T18:48:55.820	-15.9851978488181
1996-09-06T18:48:56.120	-15.9832228272831
1996-09-06T18:48:56.487	-15.9808067176052
1996-09-06T18:48:56.787	-15.9788316960702
1996-09-06T18:48:57.153	-15.9764221697975
1996-09-06T18:48:57.453	-15.9744471482625
1996-09-06T18:48:57.820	-15.9720310385847
1996-09-06T18:48:58.120	-15.9700560170496
1996-09-06T18:48:58.487	-15.9676399073718
1996-09-06T18:48:58.787	-15.9656648858368
1996-09-06T18:48:59.153	-15.9632553595641
1996-09-06T18:48:59.453	-15.9612803380291
1996-09-06T18:48:59.820	-15.9588642283512
1996-09-06T18:49:00.120	-15.9568892068162
1996-09-06T18:49:00.487	-15.9544730971384
1996-09-06T18:49:00.787	-15.9524980756034
1996-09-06T18:49:01.153	-15.9500885493306
1996-09-06T18:49:01.453	-15.9481135277956
1996-09-06T18:49:01.820	-15.9456974181178
1996-09-06T18:49:02.120	-15.9437223965828
1996-09-06T18:49:02.487	-15.9413062869049
1996-09-06T18:49:02.787	-15.9393312653699
1996-09-06T18:49:03.153	-15.9369217390972
1996-09-06T18:49:03.453	-15.9349467175622
1996-09-06T18:49:03.820	-15.9325306078844
1996-09-06T18:49:04.120	-15.9305555863493
1996-09-06T18:49:04.487	-15.9281394766715
1996-09-06T18:49:04.787	-15.9261644551365
1996-09-06T18:49:05.153	-15.9237549288638
1996-09-06T18:49:05.453	-15.9217799073288
1996-09-06T18:49:05.820	-15.9193637976509
1996-09-06T18:49:06.120	-15.9173887761159
1996-09-06T18:49:06.487	-15.9149726664381
1996-09-06T18:49:06.787	-15.912997644903
1996-09-06T18:49:07.153	-15.9105881186303
1996-09-06T18:49:07.453	-15.9086130970953
1996-09-06T18:49:07.820	-15.9061969874175
1996-09-06T18:49:08.120	-15.9042219658825
1996-09-06T18:49:08.487	-15.9018058562046
1996-09-06T18:49:08.787	-15.8998308346696
1996-09-06T18:49:09.153	-15.8974213083969
1996-09-06T18:49:09.453	-15.8954462868619
1996-09-06T18:49:09.820	-15.893030177184
1996-09-06T18:49:10.120	-15.891055155649
1996-09-06T18:49:10.487	-15.8886390459712
1996-09-06T18:49:10.787	-15.8866640244362
1996-09-06T18:49:11.153	-15.8842544981635
1996-09-06T18:49:11.453	-15.8822794766284
1996-09-06T18:49:11.820	-15.8798633669506
1996-09-06T18:49:12.120	-15.8778883454156
1996-09-06T18:49:12.487	-15.8754722357378
1996-09-06T18:49:12.787	-15.8734972142027
1996-09-06T18:49:13.153	-15.87108768793
1996-09-06T18:49:13.453	-15.869112666395
1996-09-06T18:49:13.820	-15.8666965567172
1996-09-06T18:49:14.120	-15.8647215351822
1996-09-06T18:49:14.487	-15.8623054255043
1996-09-06T18:49:14.787	-15.8603304039693
1996-09-06T18:49:15.153	-15.8579208776966
1996-09-06T18:49:15.453	-15.8559458561616
1996-09-06T18:49:15.820	-15.8535297464837
1996-09-06T18:49:16.120	-15.8515547249487
1996-09-06T18:49:16.487	-15.8491386152709
1996-09-06T18:49:16.787	-15.8471635937359
1996-09-06T18:49:17.153	-15.8447540674632
1996-09-06T18:49:17.453	-15.8427790459281
1996-09-06T18:49:17.820	-15.8403629362503
1996-09-06T18:49:18.120	-15.8383879147153
1996-09-06T18:49:18.487	-15.8359718050374
1996-09-06T18:49:18.787	-15.8339967835024
1996-09-06T18:49:19.153	-15.8315872572297
1996-09-06T18:49:19.453	-15.8296122356947
1996-09-06T18:49:19.820	-15.8271961260169
