time	Bz
1996-09-06T19:01:45.453	-723.038719032553
1996-09-06T19:01:45.820	-722.036808772533
1996-09-06T19:01:46.120	-721.757690993508
1996-09-06T19:01:46.486	-719.505647228061
1996-09-06T19:01:46.786	-716.721818102054
1996-09-06T19:01:47.153	-715.03996888648
1996-09-06T19:01:47.453	-716.099435315031
1996-09-06T19:01:47.820	-712.218727974032
1996-09-06T19:01:48.120	-714.12685796011
1996-09-06T19:01:48.486	-709.137829568254
1996-09-06T19:01:48.786	-710.868264917748
1996-09-06T19:01:49.153	-708.524077360505
1996-09-06T19:01:49.453	-705.124282195771
1996-09-06T19:01:49.820	-703.651178164769
1996-09-06T19:01:50.120	-704.988280384219
1996-09-06T19:01:50.486	-702.124753698823
1996-09-06T19:01:50.786	-702.752583808153
1996-09-06T19:01:51.153	-697.709415208363
1996-09-06T19:01:51.453	-700.287661427373
1996-09-06T19:01:51.820	-698.85353197176
1996-09-06T19:01:52.120	-694.584933702942
1996-09-06T19:01:52.486	-695.852432929306
1996-09-06T19:01:52.786	-695.58096297131
1996-09-06T19:01:53.153	-693.392117625437
1996-09-06T19:01:53.453	-691.217038974852
1996-09-06T19:01:53.820	-689.264504402112
1996-09-06T19:01:54.120	-690.427111882703
1996-09-06T19:01:54.486	-687.000273699483
1996-09-06T19:01:54.786	-684.232317554849
1996-09-06T19:01:55.153	-686.831786016049
1996-09-06T19:01:55.453	-684.371206603885
1996-09-06T19:01:55.820	-683.176585149361
1996-09-06T19:01:56.120	-681.214538841293
1996-09-06T19:01:56.486	-678.931700619105
1996-09-06T19:01:56.786	-680.448539525146
1996-09-06T19:01:57.153	-677.178494089058
1996-09-06T19:01:57.453	-675.939295952694
1996-09-06T19:01:57.820	-674.751908041296
1996-09-06T19:01:58.120	-671.510672080654
1996-09-06T19:01:58.486	-669.702123525276
1996-09-06T19:01:58.786	-670.08466222193
1996-09-06T19:01:59.153	-665.057682824234
1996-09-06T19:01:59.453	-668.563017678449
1996-09-06T19:01:59.820	-665.169526480209
1996-09-06T19:02:00.120	-663.258492486892
1996-09-06T19:02:00.486	-660.771084338274
1996-09-06T19:02:00.786	-661.535960780717
1996-09-06T19:02:01.153	-659.048225537782
1996-09-06T19:02:01.453	-656.327108071383
1996-09-06T19:02:01.820	-658.159166233276
1996-09-06T19:02:02.120	-654.23775135448
1996-09-06T19:02:02.486	-653.139412978931
1996-09-06T19:02:02.786	-654.621842014765
1996-09-06T19:02:03.153	-652.045443744098
1996-09-06T19:02:03.453	-652.678524046432
1996-09-06T19:02:03.820	-652.214571337759
1996-09-06T19:02:04.120	-647.402866590429
1996-09-06T19:02:04.486	-646.802599817626
1996-09-06T19:02:04.786	-644.615726611662
1996-09-06T19:02:05.153	-645.158650032152
1996-09-06T19:02:05.453	-642.911801286459
1996-09-06T19:02:05.820	-639.586002597431
1996-09-06T19:02:06.120	-640.00128007451
1996-09-06T19:02:06.486	-638.111249743884
1996-09-06T19:02:06.786	-637.457555802422
1996-09-06T19:02:07.153	-635.892042800057
1996-09-06T19:02:07.453	-634.496881549888
1996-09-06T19:02:07.820	-632.27279739598
1996-09-06T19:02:08.120	-628.646184607948
1996-09-06T19:02:08.486	-628.977806379511
